単語,読み仮名,読み上げ用,使用範囲,JUMANカテゴリ,評価極性
機具,キグ,キグ,9,人工物-その他,-
原色,ゲンショク,ゲンショク,9,色,-
義妹,ギマイ,ギマイ,7,人,-
官公庁,カンコウチョウ,カンコウチョウ,10,組織・団体;場所-施設,-
すっぽん,スッポン,スッポン,8,動物;人工物-食べ物,-
漁夫,ギョフ,ギョフ,8,人,-
畦道,アゼミチ,アゼミチ,9,場所-施設,-
毒物,ドクブツ,ドクブツ,9,人工物-その他,-
良品,リョウヒン,リョウヒン,8,人工物-その他,p
口火,クチビ,クチビ,7,自然物,-
両膝,リョウヒザ,リョウヒザ,7,動物-部位,-
内国,ナイコク,ナイコク,8,場所-その他,-
釣り鐘,ツリガネ,ツリガネ,8,人工物-その他,-
ライナー,ライナー,ライナー,7,人工物-その他;抽象物,e
飾り物,カザリモノ,カザリモノ,9,人工物-その他,-
芙蓉,フヨウ,フヨウ,7,植物,-
黴菌,バイキン,バイキン,7,動物,-
細切れ,コマギレ,コマギレ,9,人工物-食べ物,-
用地,ヨウチ,ヨウチ,8,場所-その他,-
キラー,キラー,キラー,9,人,-
ブローカー,ブローカー,ブローカー,8,人,-
トロッコ,トロッコ,トロッコ,7,人工物-乗り物,-
土星,ドセイ,ドセイ,8,自然物,-
市電,シデン,シデン,9,人工物-乗り物,-
アンカー,アンカー,アンカー,7,人;人工物-その他,-
大麦,オオムギ,オオムギ,9,植物,-
草分け,クサワケ,クサワケ,9,人,-
樹皮,ジュヒ,ジュヒ,7,植物-部位,-
酒席,シュセキ,シュセキ,7,場所-その他,-
工兵,コウヘイ,コウヘイ,7,人,-
任地,ニンチ,ニンチ,7,場所-その他,-
鋤,スキ,スキ,8,人工物-その他,-
行き場,ユキバ,ユキバ,10,場所-その他,-
蓑,ミノ,ミノ,7,人工物-衣類,-
早道,ハヤミチ,ハヤミチ,10,場所-施設;抽象物,-
寡婦,カフ,カフ,8,人,-
微温湯,ヌルマユ,ヌルマユ,7,自然物,-
来賓,ライヒン,ライヒン,9,人,-
パイナップル,パイナップル,パイナップル,7,植物;人工物-食べ物,-
弱虫,ヨワムシ,ヨワムシ,8,人,-
シニア,シニア,シニア,7,人,-
下っ端,シタッパ,シタッパ,7,人,-
楔,クサビ,クサビ,9,人工物-その他,-
マート,マート,マート,7,場所-その他,-
洋書,ヨウショ,ヨウショ,9,人工物-その他;抽象物,-
令嬢,レイジョウ,レイジョウ,8,人,-
各省,カクショウ,カクショウ,9,組織・団体,-
土竜,モグラ,モグラ,8,動物,-
身寄り,ミヨリ,ミヨリ,7,人,-
参院,サンイン,サンイン,8,組織・団体,-
室長,シツチョウ,シツチョウ,7,人,-
毒薬,ドクヤク,ドクヤク,7,人工物-その他,-
油田,ユデン,ユデン,8,場所-その他,-
備品,ビヒン,ビヒン,10,人工物-その他,-
働き盛り,ハタラキザカリ,ハタラキザカリ,9,人;時間,-
キャンドル,キャンドル,キャンドル,8,人工物-その他,-
各駅,カクエキ,カクエキ,7,人工物-乗り物,-
石榴,ザクロ,ザクロ,8,植物;人工物-食べ物,-
木星,モクセイ,モクセイ,9,自然物,-
向こう岸,ムコウギシ,ムコウギシ,9,場所-自然,-
牛車,ギュウシャ,ギュウシャ,7,人工物-乗り物,-
新党,シントウ,シントウ,7,組織・団体,-
大洋,タイヨウ,タイヨウ,9,場所-その他,-
東端,トウタン,トウタン,8,場所-その他,-
漁港,ギョコウ,ギョコウ,9,場所-施設,-
終電,シュウデン,シュウデン,7,人工物-乗り物,-
チョッキ,チョッキ,チョッキ,8,人工物-衣類,-
僻地,ヘキチ,ヘキチ,9,場所-その他,-
水系,スイケイ,スイケイ,9,場所-自然,-
壇上,ダンジョウ,ダンジョウ,8,場所-その他,-
白雪,シラユキ,シラユキ,7,自然物,-
局地,キョクチ,キョクチ,9,場所-その他,-
麦畑,ムギバタケ,ムギバタケ,8,場所-その他,-
計器,ケイキ,ケイキ,9,人工物-その他,-
建材,ケンザイ,ケンザイ,8,人工物-その他,-
吸い物,スイモノ,スイモノ,7,人工物-食べ物,-
猟銃,リョウジュウ,リョウジュウ,7,人工物-その他,-
殿堂,デンドウ,デンドウ,9,場所-施設,-
バラック,バラック,バラック,8,場所-施設,-
コロニー,コロニー,コロニー,10,場所-その他,-
飲み水,ノミミズ,ノミミズ,7,自然物,-
町外れ,マチハズレ,マチハズレ,8,場所-その他,-
アカシア,アカシア,アカシア,9,植物,-
兵舎,ヘイシャ,ヘイシャ,7,場所-施設,-
山裾,ヤマスソ,ヤマスソ,8,場所-自然,-
日溜まり,ヒダマリ,ヒダマリ,7,場所-その他,-
ドライヤー,ドライヤー,ドライヤー,7,人工物-その他,-
山猫,ヤマネコ,ヤマネコ,7,動物,-
羊歯,シダ,シダ,7,植物,-
論者,ロンシャ,ロンシャ,8,人,-
各界,カッカイ,カッカイ,9,場所-その他,-
菜種,ナタネ,ナタネ,8,人工物-その他,-
土筆,ツクシ,ツクシ,9,植物-部位;人工物-食べ物,-
連峰,レンポウ,レンポウ,9,場所-自然,-
盆栽,ボンサイ,ボンサイ,9,植物,-
出窓,デマド,デマド,8,場所-施設部位,-
洋館,ヨウカン,ヨウカン,8,場所-施設,-
急流,キュウリュウ,キュウリュウ,8,場所-自然,-
賞品,ショウヒン,ショウヒン,10,人工物-その他,p
瓶詰め,ビンヅメ,ビンヅメ,9,人工物-食べ物,-
